WHO_REGION,Name,Cases - cumulative total per 100000 population,Deaths - cumulative total per 100000 population,COUNTRY,PERSONS_FULLY_VACCINATED_PER100,NUMBER_VACCINES_TYPES_USED
EURO,Iceland,23612.187,14.83,Iceland,77.92,4
EURO,Ireland,24900.855,126.721,Ireland,78.218,4
EURO,Isle of Man,25859.676,90.554,Isle of Man,77.941,3
EURO,Israel,38840.542,108.936,Israel,70.693,3
EURO,Italy,19992.176,251.873,Italy,76.51,4
EURO,Jersey,31279.454,98.334,Jersey,72.566,3
EURO,Kazakhstan,7312.502,99.783,Kazakhstan,48.246,5
EURO,Kosovo,12300.896,169.965,Kosovo,43.456,2
EURO,Kyrgyzstan,3063.828,44.757,Kyrgyzstan,16.27,6
EURO,Latvia,25598.123,261.418,Latvia,65.218,4
EURO,Lithuania,28542.101,288.538,Lithuania,67.274,4
EURO,Luxembourg,27551.477,154.606,Luxembourg,71.43,4
EURO,Malta,13535.343,111.939,Malta,84.383,4
EURO,Monaco,22821.323,124.86,Monaco,59.393,1
EURO,Montenegro,35863.975,417.475,Montenegro,40.267,4
EURO,Netherlands,31729.582,122.694,Netherlands,70.795,4
EURO,North Macedonia,13609.951,416.919,North Macedonia,39.897,6
EURO,Norway,18307.002,28.188,Norway,74.451,4
EURO,Poland,14089.685,283.884,Poland,57.318,4
EURO,Portugal,29384.691,198.147,Portugal,83.191,4
EURO,Republic of Moldova,11906.133,270.032,Republic of Moldova,25.067,7
EURO,Romania,12979.88,316.786,Romania,41.32,4
EURO,Russian Federation,9409.562,232.168,Russian Federation,47.764,2
EURO,San Marino,40842.124,324.12,San Marino,63.202,2
EURO,Serbia,26234.797,205.495,Serbia,46.477,5
EURO,Slovakia,22115.813,330.971,Slovakia,49.18,5
EURO,Slovenia,39530.675,311.185,Slovenia,57.735,4
EURO,Spain,22300.049,201.988,Spain,76.236,4
EURO,Sweden,23138.072,158.75,Sweden,70.382,3
EURO,Switzerland,28945.183,143.819,Switzerland,66.732,3
EURO,Tajikistan,186.262,1.311,Tajikistan,39.417,6
EURO,The United Kingdom,26753.973,234.449,The United Kingdom,71.138,3
EURO,Turkey,15001.808,106.405,Turkey,62.986,3
EURO,Turkmenistan,0,0,Turkmenistan,53.162,6
EURO,Ukraine,10204.863,234.151,Ukraine,33.292,6
EURO,Uzbekistan,694.657,4.772,Uzbekistan,36.787,7
SEARO,Bangladesh,1153.567,17.47,Bangladesh,38.074,8
SEARO,Bhutan,902.531,0.648,Bhutan,73.969,5
SEARO,India,3082.319,36.752,India,51.874,6
SEARO,Indonesia,1721.256,52.997,Indonesia,47.044,7
SEARO,Maldives,28844.46,53.095,Maldives,68.428,8
SEARO,Myanmar,995.968,35.49,Myanmar,34.639,2
SEARO,Nepal,3336.47,40.766,Nepal,49.449,8
SEARO,Sri Lanka,2916.629,73.427,Sri Lanka,65.055,6
SEARO,Thailand,3669.22,32.073,Thailand,69.615,7
SEARO,Timor-Leste,1623.2,9.329,Timor-Leste,42.822,4
